latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-24.86659,47.11414,334.37,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,302.47,2.93,D
-24.86934,47.07775,335.61,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,302.11,3.51,D
-25.08834,45.85764,343.12,0.45,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,313.56,10.64,D
-24.92217,46.76773,331.32,0.49,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,302.55,3.62,D
-24.92304,46.76295,334.05,0.49,0.4,2025-11-01,1053,N,VIIRS,n,2.0NRT,302.23,3.55,D
-25.12565,45.60122,342.27,0.44,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,311.4,37.59,D
-24.89737,46.77628,332.48,0.49,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,301.36,2.91,D
-25.2494,44.77032,343.55,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.82,9.1,D
-25.24597,44.76963,336.75,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.1,9.1,D
-25.24255,44.76894,339.29,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.76,2.38,D
-24.87125,46.79174,340.55,0.49,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,307.14,5.77,D
-24.87211,46.78705,344.85,0.49,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.29,5.77,D
-24.87066,46.79351,334.56,0.49,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.8,5.23,D
-24.87149,46.7889,337.74,0.49,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.57,5.23,D
-24.87237,46.78399,334.01,0.49,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.14,4.48,D
-25.10704,45.2877,343.53,0.43,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,313.25,9.05,D
-24.83554,46.8161,332.61,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.32,3.49,D
-25.22887,44.49506,338.23,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.46,3.13,D
-25.06572,45.40258,349.52,0.43,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,313.57,14.69,D
-24.89876,46.31467,346.13,0.47,0.4,2025-11-01,1053,N,VIIRS,n,2.0NRT,316.74,6.19,D
-24.74919,47.11719,342.84,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,301.9,5.01,D
-24.89511,46.31387,342.4,0.47,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,314.55,4.81,D
-25.18959,44.5411,333.81,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.6,1.35,D
-24.82866,46.53464,339.75,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,313.54,6.01,D
-24.82953,46.52988,340.58,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,314.59,6.01,D
-25.07979,45.00433,344.39,0.42,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,313.12,10.28,D
-25.14527,44.47397,335.6,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.07,5.16,D
-24.86554,46.10268,342.56,0.46,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,314.93,8.62,D
-24.84621,46.12727,342.12,0.46,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,316.18,6.64,D
-25.03667,44.95736,344.68,0.42,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,309.62,10.17,D
-24.8374,46.09214,341.37,0.46,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,314.77,6.81,D
-24.83862,46.064,344.04,0.46,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,317.81,9.78,D
-24.84424,46.03215,341.29,0.46,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,315.69,9.69,D
-25.13287,44.33564,336.86,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.16,1.51,D
-24.69032,46.84708,335.71,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,302.99,5.64,D
-24.69118,46.84237,337.08,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.12,5.64,D
-24.78552,46.32045,344.75,0.47,0.4,2025-11-01,1053,N,VIIRS,n,2.0NRT,315.26,8.15,D
-25.09109,44.54643,343.86,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,310.28,5.89,D
-25.10508,44.4619,332.44,0.4,0.37,2025-11-01,1053,N,VIIRS,l,2.0NRT,304.61,2.03,D
-25.08768,44.54576,341.82,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.88,5.89,D
-25.00203,44.99313,344.24,0.42,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,312.72,24.47,D
-25.02506,44.75129,341.89,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.82,6.07,D
-25.08175,44.41175,337.51,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.2,3.7,D
-25.02163,44.75061,341.18,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.04,5.02,D
-25.07495,44.4104,337.51,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.68,3.65,D
-25.0414,44.59066,341.13,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,307.8,10.71,D
-25.0542,44.51407,337.98,0.41,0.37,2025-11-01,1053,N,VIIRS,l,2.0NRT,311.65,49.28,D
-25.03731,44.59402,338.89,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.15,10.71,D
-25.03799,44.58998,335.08,0.41,0.37,2025-11-01,1053,N,VIIRS,l,2.0NRT,307.39,10.71,D
-24.75234,46.17093,339.65,0.47,0.39,2025-11-01,1053,N,VIIRS,n,2.0NRT,312.12,3.49,D
-24.62529,46.84208,335.53,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,302.55,6.34,D
-24.62609,46.83762,336.65,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,301.54,4.22,D
-24.80165,45.44323,342.59,0.43,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.21,8.28,D
-24.97322,44.43258,340.79,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.91,5.12,D
-24.46441,47.26437,337.75,0.53,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,300.54,6.09,D
-24.95907,44.47539,343.05,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.61,24.68,D
-24.46056,47.26351,337.52,0.53,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,300.04,6.09,D
-24.59722,46.5275,345.13,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,318.82,8.15,D
-24.96633,44.41053,339.42,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.8,2.85,D
-24.96293,44.40987,367,0.4,0.37,2025-11-01,1053,N,VIIRS,l,2.0NRT,325.12,93.69,D
-24.60449,46.42474,344.25,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,316.38,7.54,D
-24.61814,46.34983,340.71,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,314.31,7.81,D
-24.93806,44.51688,335.96,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,302.9,116.48,D
-24.93563,44.51667,367,0.41,0.37,2025-11-01,1053,N,VIIRS,h,2.0NRT,325.98,128.98,D
-24.61608,46.35089,340.93,0.48,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,315.26,7.13,D
-24.44062,47.21749,344.57,0.53,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,301.74,7.68,D
-24.62737,46.17948,345.23,0.47,0.4,2025-11-01,1053,N,VIIRS,n,2.0NRT,314.44,6.08,D
-24.93404,44.35482,341.39,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.58,10.1,D
-24.50275,46.76899,340.54,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,307.95,4.47,D
-24.79428,45.1081,341.45,0.42,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.18,5.61,D
-24.49895,46.76849,336.35,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,307.09,4.47,D
-24.43217,47.11179,336.24,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,300.79,3.76,D
-24.60353,46.16496,341.36,0.47,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,313.6,6.06,D
-24.60433,46.1604,338.78,0.47,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,313.11,4.47,D
-24.42255,47.14235,339.51,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,302.3,3.25,D
-24.42832,47.11113,333.64,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,301.22,3.76,D
-24.59706,46.15888,342.29,0.47,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,317.06,10.35,D
-24.91405,44.30562,341.13,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,307.43,5.29,D
-24.41384,47.14635,343.6,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,302.91,5.32,D
-24.89523,44.3348,353.07,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.92,4.59,D
-24.89183,44.33413,345.68,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.5,4.59,D
-24.76101,45.07111,341.05,0.42,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,310.13,9.13,D
-24.55499,46.18291,342.59,0.47,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,312.82,3.87,D
-24.86673,44.33739,343.01,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.6,12.49,D
-24.872,44.30552,339.15,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.75,3.42,D
-24.86992,44.2969,342.38,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.1,7.53,D
