latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-12.53935,49.39872,313.63,2.47,1.51,2025-09-01,0521,Terra,MODIS,59,6.1NRT,295.49,22.84,D
-13.51519,48.77542,324.28,2.64,1.56,2025-09-01,0523,Terra,MODIS,77,6.1NRT,297.78,72.98,D
-13.50733,48.7703,318.11,2.64,1.56,2025-09-01,0523,Terra,MODIS,69,6.1NRT,297.11,47.62,D
-13.52125,48.76885,311.32,2.64,1.56,2025-09-01,0523,Terra,MODIS,34,6.1NRT,297.47,24.25,D
-17.46427,45.65759,307.89,3.8,1.82,2025-09-01,0523,Terra,MODIS,45,6.1NRT,294.48,26.8,D
-17.47062,45.69102,306.87,3.78,1.82,2025-09-01,0523,Terra,MODIS,33,6.1NRT,294.16,22.24,D
-17.47781,45.68005,311.24,3.78,1.82,2025-09-01,0523,Terra,MODIS,64,6.1NRT,295.09,44.76,D
-18.91587,47.32509,310.67,2.65,1.56,2025-09-01,0523,Terra,MODIS,67,6.1NRT,292.56,32.35,D
-18.52417,47.39535,312.31,4.19,1.9,2025-09-01,1113,Aqua,MODIS,39,6.1NRT,294.11,55.15,D
-18.09772,46.57024,314.57,4.79,2,2025-09-01,1113,Aqua,MODIS,61,6.1NRT,301.05,60.23,D
-18.09783,46.56624,314.99,4.79,2,2025-09-01,1113,Aqua,MODIS,63,6.1NRT,301.02,63.98,D
-13.51159,48.78784,316.22,2.76,1.59,2025-09-01,1115,Aqua,MODIS,59,6.1NRT,297.86,33.25,D
-13.39529,49.74068,317.54,2.31,1.47,2025-09-01,1115,Aqua,MODIS,57,6.1NRT,297.25,31.66,D
-13.52838,48.7667,315.17,2.78,1.59,2025-09-01,1115,Aqua,MODIS,54,6.1NRT,297.79,31.25,D
-13.40814,49.74324,316.91,2.31,1.47,2025-09-01,1115,Aqua,MODIS,47,6.1NRT,297.4,31.1,D
-13.51877,48.76895,343.53,2.78,1.59,2025-09-01,1115,Aqua,MODIS,92,6.1NRT,299.26,190.81,D
-13.40619,49.74715,322.48,2.31,1.47,2025-09-01,1115,Aqua,MODIS,64,6.1NRT,298.18,47.8,D
-13.80396,48.11122,314.67,3.16,1.68,2025-09-01,1115,Aqua,MODIS,66,6.1NRT,294.33,46.14,D
-13.80334,48.11593,315.82,3.16,1.68,2025-09-01,1115,Aqua,MODIS,70,6.1NRT,294.01,51.23,D
-15.05254,47.65636,329.47,3.57,1.77,2025-09-01,1115,Aqua,MODIS,84,6.1NRT,303.41,113.52,D
-15.71822,47.7191,333.98,3.62,1.78,2025-09-01,1115,Aqua,MODIS,62,6.1NRT,301.84,156.16,D
-15.04777,47.66322,342.29,3.57,1.77,2025-09-01,1115,Aqua,MODIS,92,6.1NRT,304.1,237.93,D
-15.04423,47.69608,319.08,3.55,1.77,2025-09-01,1115,Aqua,MODIS,74,6.1NRT,302.68,47.98,D
-15.12138,47.5727,324.46,3.64,1.79,2025-09-01,1115,Aqua,MODIS,80,6.1NRT,303.02,81.4,D
-15.58732,47.44891,317.34,3.78,1.82,2025-09-01,1115,Aqua,MODIS,71,6.1NRT,301.96,33.19,D
-16.37653,48.36308,312.32,3.3,1.72,2025-09-01,1115,Aqua,MODIS,27,6.1NRT,296.15,30.53,D
-16.43075,47.82671,314.02,3.64,1.79,2025-09-01,1115,Aqua,MODIS,66,6.1NRT,300.44,39.91,D
-16.37461,48.38706,312.08,3.28,1.71,2025-09-01,1115,Aqua,MODIS,44,6.1NRT,295.88,34.96,D
-15.04878,47.68902,328.78,3.55,1.77,2025-09-01,1115,Aqua,MODIS,83,6.1NRT,303.16,110.77,D
-15.72153,47.6866,332.86,3.64,1.79,2025-09-01,1115,Aqua,MODIS,71,6.1NRT,302.03,143.39,D
-15.72346,47.71261,323.31,3.62,1.78,2025-09-01,1115,Aqua,MODIS,74,6.1NRT,301.62,76.43,D
-15.70768,47.71099,330.35,3.62,1.78,2025-09-01,1115,Aqua,MODIS,84,6.1NRT,302.15,126.45,D
-15.1151,47.57623,325.41,3.64,1.79,2025-09-01,1115,Aqua,MODIS,81,6.1NRT,303.91,87.72,D
-15.71122,47.67821,319.96,3.64,1.79,2025-09-01,1115,Aqua,MODIS,63,6.1NRT,301.5,50.18,D
-15.57677,47.49005,319.4,3.75,1.81,2025-09-01,1115,Aqua,MODIS,67,6.1NRT,304.66,48.06,D
-15.58027,47.45585,319.55,3.78,1.82,2025-09-01,1115,Aqua,MODIS,74,6.1NRT,302.59,45.07,D
